date	pa_conc	strain	replicate	pheno
10152015	140	E03017	A	0
10192015	0	E03017	A	100
10192015	20	E03017	A	100
10192015	40	E03017	A	100
10192015	60	E03017	A	97.2602739726027
10192015	80	E03017	A	90.6666666666667
10192015	100	E03017	A	1.03092783505155
10192015	120	E03017	A	0
10192015	140	E03017	A	0
10132015	0	E03017	B	100
10132015	20	E03017	B	100
10132015	40	E03017	B	100
10132015	60	E03017	B	97.7443609022556
10132015	80	E03017	B	43.1654676258993
10132015	100	E03017	B	19.3548387096774
10132015	120	E03017	B	0
10132015	140	E03017	B	0
10152015	0	E03017	B	100
10152015	20	E03017	B	100
10152015	40	E03017	B	100
10152015	60	E03017	B	100
10152015	80	E03017	B	88
10152015	100	E03017	B	0
10152015	120	E03017	B	0
10152015	140	E03017	B	0
10192015	0	E03017	B	100
10192015	20	E03017	B	98.6842105263158
10192015	40	E03017	B	100
10192015	60	E03017	B	96.2025316455696
10192015	80	E03017	B	88.3720930232558
10192015	100	E03017	B	1.23456790123457
10192015	120	E03017	B	0
10192015	140	E03017	B	0
10132015	0	E03017	C	100
10132015	20	E03017	C	100
10132015	40	E03017	C	100
10132015	60	E03017	C	98.4496124031008
10132015	80	E03017	C	38.4615384615385
10132015	100	E03017	C	14.0625
10132015	120	E03017	C	0
10132015	140	E03017	C	0
10152015	0	E03017	C	100
10152015	20	E03017	C	100
10152015	40	E03017	C	100
10152015	60	E03017	C	100
10152015	80	E03017	C	96.25
10152015	100	E03017	C	0
10152015	120	E03017	C	0
10152015	140	E03017	C	0
10192015	0	E03017	C	100
10192015	20	E03017	C	100
10192015	40	E03017	C	100
10192015	60	E03017	C	97.4683544303797
10192015	80	E03017	C	86.5168539325843
10192015	100	E03017	C	1.16279069767442
10192015	120	E03017	C	0
10192015	140	E03017	C	0
10132015	0	LKC34	A	100
10132015	20	LKC34	A	100
10132015	40	LKC34	A	100
10132015	60	LKC34	A	97.4576271186441
10132015	80	LKC34	A	51.8867924528302
10132015	100	LKC34	A	1.51515151515152
10132015	120	LKC34	A	0
10132015	140	LKC34	A	0
10152015	0	LKC34	A	100
10152015	20	LKC34	A	100
10152015	40	LKC34	A	100
10152015	60	LKC34	A	100
10152015	80	LKC34	A	100
10152015	100	LKC34	A	3.75
10152015	120	LKC34	A	0
10152015	140	LKC34	A	0
10192015	0	LKC34	A	100
10192015	20	LKC34	A	98.8505747126437
10192015	40	LKC34	A	100
10192015	60	LKC34	A	100
10192015	80	LKC34	A	65.8536585365854
10192015	100	LKC34	A	2.27272727272727
10192015	120	LKC34	A	0
10192015	140	LKC34	A	0
10132015	0	LKC34	B	100
10132015	20	LKC34	B	100
10132015	40	LKC34	B	100
10132015	60	LKC34	B	99.1735537190083
10132015	80	LKC34	B	55.9322033898305
10132015	100	LKC34	B	4.08163265306122
10132015	120	LKC34	B	0
10132015	140	LKC34	B	0
10152015	0	LKC34	B	100
10152015	20	LKC34	B	100
10152015	40	LKC34	B	100
10152015	60	LKC34	B	100
10152015	80	LKC34	B	98.936170212766
10152015	100	LKC34	B	6.41025641025641
10152015	120	LKC34	B	0
10152015	140	LKC34	B	0
10192015	0	LKC34	B	100
10192015	20	LKC34	B	100
10192015	40	LKC34	B	100
10192015	60	LKC34	B	100
10192015	80	LKC34	B	78.0821917808219
10192015	100	LKC34	B	1.17647058823529
10192015	120	LKC34	B	0
10192015	140	LKC34	B	0
10132015	0	LKC34	C	100
